x,y,nominal_x,nominal_y
21.0,12.000092,21.0,29.205
21.0,12.000092,21.0,29.174
21.0,12.000092,21.0,29.143
21.0,12.000092,21.0,29.112000000000002
21.0,12.000092,21.0,29.081
21.0,12.000092,21.0,29.05
21.0,12.000092,21.0,29.019
21.0,12.000092,21.0,28.988
21.0,12.000092,21.0,28.957
21.0,12.000092,21.0,28.926000000000002
21.0,12.000092,21.0,28.895
21.0,12.000092,21.0,28.864
21.0,12.000092,21.0,28.833
21.0,12.000092,21.0,28.802
21.0,12.000092,21.0,28.771
21.0,12.000092,21.0,28.740000000000002
21.0,12.000092,21.0,28.709
21.0,12.000092,21.0,28.678
21.0,12.000092,21.0,28.647
21.0,12.000092,21.0,28.616
21.0,12.000092,21.0,28.585
21.0,12.000092,21.0,28.554000000000002
21.0,12.000092,21.0,28.523
21.0,12.000092,21.0,28.492
21.0,12.000092,21.0,28.461
21.0,12.000092,21.0,28.43
21.0,12.000092,21.0,28.399
21.0,12.000092,21.0,28.368000000000002
21.0,12.000092,21.0,28.337
21.0,12.000092,21.0,28.306
21.0,12.000092,21.0,28.275
21.0,12.000092,21.0,28.244
21.0,12.000092,21.0,28.213
21.0,12.000092,21.0,28.182000000000002
21.0,12.000092,21.0,28.151
21.0,12.000092,21.0,28.12
21.0,12.000092,21.0,28.089
21.0,12.000092,21.0,28.058
21.0,12.000092,21.0,28.027
21.0,12.000092,21.0,27.996000000000002
21.0,12.000092,21.0,27.965
21.0,12.000092,21.0,27.933999999999997
21.0,12.000092,21.0,27.903
21.0,12.000092,21.0,27.872
21.0,12.000092,21.0,27.841
21.0,12.000092,21.0,27.810000000000002
21.0,12.000092,21.0,27.779
21.0,12.000092,21.0,27.747999999999998
21.0,12.000092,21.0,27.717
21.0,12.000092,21.0,27.686
21.0,12.000092,21.0,27.655
21.0,12.000092,21.0,27.624000000000002
21.0,12.000092,21.0,27.593
21.0,12.000092,21.0,27.561999999999998
21.0,12.000092,21.0,27.531
21.0,12.000092,21.0,27.5
21.0,12.000092,21.0,27.469
21.0,12.000092,21.0,27.438000000000002
21.0,12.000092,21.0,27.407
21.0,12.000092,21.0,27.375999999999998
21.0,12.000092,21.0,27.345
21.0,12.000092,21.0,27.314
21.0,12.000092,21.0,27.283
21.0,12.000092,21.0,27.252000000000002
21.0,12.000092,21.0,27.221
21.0,12.000092,21.0,27.189999999999998
21.0,12.000092,21.0,27.159
21.0,12.000092,21.0,27.128
21.0,12.000092,21.0,27.097
21.0,12.000092,21.0,27.066000000000003
21.0,12.000092,21.0,27.035
21.0,12.000092,21.0,27.003999999999998
21.0,12.000092,21.0,26.973
21.0,12.000092,21.0,26.942
21.0,12.000092,21.0,26.911
21.0,12.000092,21.0,26.88
21.0,12.000092,21.0,26.849
21.0,12.000092,21.0,26.818
21.0,12.000092,21.0,26.787
21.0,12.000092,21.0,26.756
21.0,12.000092,21.0,26.725
21.0,12.000092,21.0,26.694
21.0,12.000092,21.0,26.663
21.0,12.000092,21.0,26.632
21.0,12.000092,21.0,26.601
21.0,12.000092,21.0,26.57
21.0,12.000092,21.0,26.539
21.0,12.000092,21.0,26.508
21.0,12.000092,21.0,26.477
21.0,12.000092,21.0,26.446
21.0,12.000092,21.0,26.415
21.0,12.000092,21.0,26.384
21.0,12.000092,21.0,26.353
21.0,12.000092,21.0,26.322
21.0,12.000092,21.0,26.291
21.0,12.000092,21.0,26.26
21.0,12.000092,21.0,26.229
21.0,12.000092,21.0,26.198
21.0,12.000092,21.0,26.167
21.0,12.000092,21.0,26.136
21.0,12.000092,21.0,26.105
21.0,12.000092,21.0,26.074
21.0,12.000092,21.0,26.043
21.0,12.000092,21.0,26.012
21.0,12.000092,21.0,25.981
21.0,12.000092,21.0,25.95
21.0,12.000092,21.0,25.919
21.0,12.000092,21.0,25.888
21.0,12.000092,21.0,25.857
21.0,12.000092,21.0,25.826
21.0,12.000092,21.0,25.795
21.0,12.000092,21.0,25.764
21.0,12.000092,21.0,25.733
21.0,12.000092,21.0,25.702
21.0,12.000092,21.0,25.671
21.0,12.000092,21.0,25.64
21.0,12.000092,21.0,25.609
21.0,12.000092,21.0,25.578
21.0,12.000092,21.0,25.547
21.0,12.000092,21.0,25.516000000000002
21.0,12.000092,21.0,25.485
21.0,12.000092,21.0,25.454
21.0,12.000092,21.0,25.423000000000002
21.0,12.000092,21.0,25.392
21.0,12.000092,21.0,25.361
21.0,12.000092,21.0,25.330000000000002
21.0,12.000092,21.0,25.299
21.0,12.000092,21.0,25.268
21.0,12.000092,21.0,25.237000000000002
21.0,12.000092,21.0,25.206
21.0,12.000092,21.0,25.175
21.0,12.000092,21.0,25.144
21.0,12.000092,21.0,25.113
21.0,12.000092,21.0,25.082
21.0,12.000092,21.0,25.051
21.0,12.000092,21.0,25.02
21.0,12.000092,21.0,24.989
21.0,12.000092,21.0,24.958
21.0,12.000092,21.0,24.927
21.0,12.000092,21.0,24.896
21.0,12.000092,21.0,24.865
21.0,12.000092,21.0,24.834
21.0,12.000092,21.0,24.803
21.0,12.000092,21.0,24.772
21.0,12.000092,21.0,24.741
21.0,12.000092,21.0,24.71
21.0,12.000092,21.0,24.679
21.0,12.000092,21.0,24.648
21.0,12.000092,21.0,24.617
21.0,12.000092,21.0,24.586
21.0,12.000092,21.0,24.555
21.0,12.000092,21.0,24.524
21.0,12.000092,21.0,24.493
21.0,12.000092,21.0,24.462
21.0,12.000092,21.0,24.431
21.0,12.000092,21.0,24.4
21.0,12.000092,21.0,24.369
21.0,12.000092,21.0,24.338
21.0,12.000092,21.0,24.307
21.0,12.000092,21.0,24.276
21.0,12.000092,21.0,24.245
21.0,12.000092,21.0,24.214
21.0,12.000092,21.0,24.183
21.0,12.000092,21.0,24.152
21.0,12.000092,21.0,24.121
21.0,12.000092,21.0,24.09
21.0,12.000092,21.0,24.059
21.0,12.000092,21.0,24.028
21.0,12.000092,21.0,23.997
21.0,12.000092,21.0,23.966
21.0,12.000092,21.0,23.935
21.0,12.000092,21.0,23.904
21.0,12.000092,21.0,23.873
21.0,12.000092,21.0,23.842
21.0,12.000092,21.0,23.811
21.0,12.000092,21.0,23.78
21.0,12.000092,21.0,23.749
21.0,12.000092,21.0,23.718
21.0,12.000092,21.0,23.687
21.0,12.000092,21.0,23.656
21.0,12.000092,21.0,23.625
21.0,12.000092,21.0,23.594
21.0,12.000092,21.0,23.563
21.0,12.000092,21.0,23.532
21.0,12.000092,21.0,23.501
21.0,12.000092,21.0,23.47
21.0,12.000092,21.0,23.439
21.0,12.000092,21.0,23.408
21.0,12.000092,21.0,23.377
21.0,12.000092,21.0,23.346
21.0,12.000092,21.0,23.315
21.0,12.000092,21.0,23.284
21.0,12.000092,21.0,23.253
21.0,12.000092,21.0,23.222
21.0,12.000092,21.0,23.191
21.0,12.000092,21.0,23.16
21.0,12.000092,21.0,23.129
21.0,12.000092,21.0,23.098
21.0,12.000092,21.0,23.067
21.0,12.000092,21.0,23.036
21.0,12.000092,21.0,23.005
21.0,12.000092,21.0,22.974
21.0,12.000092,21.0,22.943
21.0,12.000092,21.0,22.912
21.0,12.000092,21.0,22.881
21.0,12.000092,21.0,22.85
21.0,12.000092,21.0,22.819
21.0,12.000092,21.0,22.788
21.0,12.000092,21.0,22.757
21.0,12.000092,21.0,22.726
21.0,12.000092,21.0,22.695
21.0,12.000092,21.0,22.664
21.0,12.000092,21.0,22.633
21.0,12.000092,21.0,22.602
21.0,12.000092,21.0,22.571
21.0,12.000092,21.0,22.54
21.0,12.000092,21.0,22.509
21.0,12.000092,21.0,22.478
21.0,12.000092,21.0,22.447
21.0,12.000092,21.0,22.416
21.0,12.000092,21.0,22.385
21.0,12.000092,21.0,22.354
21.0,12.000092,21.0,22.323
21.0,12.000092,21.0,22.292
21.0,12.000092,21.0,22.261
21.0,12.000092,21.0,22.23
21.0,12.000092,21.0,22.199
21.0,12.000092,21.0,22.168
21.0,12.000092,21.0,22.137
21.0,12.000092,21.0,22.106
21.0,12.000092,21.0,22.075
21.0,12.000092,21.0,22.044
21.0,12.000092,21.0,22.013
21.0,12.000092,21.0,21.982
21.0,12.000092,21.0,21.951
21.0,12.000092,21.0,21.92
21.0,12.000092,21.0,21.889
21.0,12.000092,21.0,21.858
21.0,12.000092,21.0,21.827
21.0,12.000092,21.0,21.796
21.0,12.000092,21.0,21.765
21.0,12.000092,21.0,21.734
21.0,12.000092,21.0,21.703
21.0,12.000092,21.0,21.672
21.0,12.000092,21.0,21.641000000000002
21.0,12.000092,21.0,21.61
21.0,12.000092,21.0,21.579
21.0,12.000092,21.0,21.548000000000002
21.0,12.000092,21.0,21.517
21.0,12.000092,21.0,21.486
21.0,12.000092,21.0,21.455000000000002
21.0,12.000092,21.0,21.424
21.0,12.000092,21.0,21.393
21.0,12.000092,21.0,21.362000000000002
21.0,12.000092,21.0,21.331
21.0,12.000092,21.0,21.3
21.0,12.000092,21.0,21.269000000000002
21.0,12.000092,21.0,21.238
21.0,12.000092,21.0,21.207
21.0,12.000092,21.0,21.176000000000002
21.0,12.000092,21.0,21.145
21.0,12.000092,21.0,21.114
21.0,12.000092,21.0,21.083
21.0,12.000092,21.0,21.052
21.0,12.000092,21.0,21.021
21.0,12.000092,21.0,20.99
21.0,12.000092,21.0,20.959
21.0,12.000092,21.0,20.928
21.0,12.000092,21.0,20.897
21.0,12.000092,21.0,20.866
21.0,12.000092,21.0,20.835
21.0,12.000092,21.0,20.804
21.0,12.000092,21.0,20.773
21.0,12.000092,21.0,20.742
21.0,12.000092,21.0,20.711
21.0,12.000092,21.0,20.68
21.0,12.000092,21.0,20.649
21.0,12.000092,21.0,20.618
21.0,12.000092,21.0,20.587
21.0,12.000092,21.0,20.556
21.0,12.000092,21.0,20.525
21.0,12.000092,21.0,20.494
21.0,12.000092,21.0,20.463
21.0,12.000092,21.0,20.432
21.0,12.000092,21.0,20.401
21.0,12.000092,21.0,20.37
21.0,12.000092,21.0,20.339
21.0,12.000092,21.0,20.308
21.0,12.000092,21.0,20.277
21.0,12.000092,21.0,20.246
21.0,12.000092,21.0,20.215
21.0,12.000092,21.0,20.184
21.0,12.000092,21.0,20.153
21.0,12.000092,21.0,20.122
21.0,12.000092,21.0,20.091
21.0,12.000092,21.0,20.06
21.0,12.000092,21.0,20.029
21.0,12.000092,21.0,19.998
21.0,12.000092,21.0,19.967
21.0,12.000092,21.0,19.936
21.0,12.000092,21.0,19.905
21.0,12.000092,21.0,19.874
